"Horodateur","Sur dix cours magistraux prévus de 8h à 10h, vous estimez être présent(e) combien de fois?","Même question pour des cours de 10h à 12h","Même question de 14h à 16h","Même question de 16h à 18h","Dans quelle école ou partie de Rennes 1 étudiez-vous?","En quelle année êtes-vous?"
"2019/01/11 3:02:31 PM UTC+2","9","10","10","10","Informatique (ISTIC)","L3"
"2019/01/11 3:02:43 PM UTC+2","10","10","10","10","Informatique (ISTIC)","M2"
"2019/01/11 3:02:46 PM UTC+2","4","9","9","7","Science et Propriété de la Matière (SPM)","L2"
"2019/01/11 3:02:55 PM UTC+2","10","10","10","10","Mathématiques","L3"
"2019/01/11 3:02:55 PM UTC+2","9","10","10","10","Informatique (ISTIC)","L3"
"2019/01/11 3:03:02 PM UTC+2","9","10","8","7","Informatique (ISTIC);Mathématiques","M1"
"2019/01/11 3:03:08 PM UTC+2","10","10","10","10","Science et Propriété de la Matière (SPM)","M2"
"2019/01/11 3:03:15 PM UTC+2","10","10","10","10","Science et Propriété de la Matière (SPM)","M2"
"2019/01/11 3:03:18 PM UTC+2","10","10","10","10","Informatique (ISTIC)","L2"
"2019/01/11 3:03:25 PM UTC+2","10","10","10","10","Informatique (ISTIC)","L1"
"2019/01/11 3:03:26 PM UTC+2","1","1","1","1","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/11 3:03:27 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/11 3:03:37 PM UTC+2","9","10","10","9","Science de la vie et de l'environnement (SVE)","M2"
"2019/01/11 3:03:38 PM UTC+2","8","9","9","7","Mathématiques","M1"
"2019/01/11 3:03:42 PM UTC+2","1","1","1","10","Philosophie","L2"
"2019/01/11 3:03:49 PM UTC+2","6","8","8","6","École Supérieure d'Ingénieurs de Rennes (ESIR)","L2"
"2019/01/11 3:03:57 PM UTC+2","10","10","10","10","Informatique (ISTIC)","M2"
"2019/01/11 3:03:59 PM UTC+2","10","10","10","10","Informatique (ISTIC)","M1"
"2019/01/11 3:04:05 PM UTC+2","10","10","10","10","Informatique (ISTIC)","L3"
"2019/01/11 3:04:10 PM UTC+2","1","3","3","3","Science et Propriété de la Matière (SPM)","L3"
"2019/01/11 3:04:19 PM UTC+2","1","6","9","6","Informatique (ISTIC)","L2"
"2019/01/11 3:04:22 PM UTC+2","8","9","9","9","Mathématiques","M1"
"2019/01/11 3:04:30 PM UTC+2","3","6","10","10","Informatique (ISTIC)","M1"
"2019/01/11 3:04:41 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","M2"
"2019/01/11 3:04:44 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/11 3:04:49 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","M2"
"2019/01/11 3:04:51 PM UTC+2","3","2","1","2","Informatique (ISTIC)","M1"
"2019/01/11 3:04:55 PM UTC+2","10","10","10","10","Informatique (ISTIC)","M1"
"2019/01/11 3:05:02 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","M2"
"2019/01/11 3:05:07 PM UTC+2","7","6","8","4","Mathématiques","L2"
"2019/01/11 3:05:09 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/11 3:05:16 PM UTC+2","7","9","10","8","Science et Propriété de la Matière (SPM)","L2"
"2019/01/11 3:05:23 PM UTC+2","5","8","10","9","Mathématiques","L3"
"2019/01/11 3:05:24 PM UTC+2","5","10","10","5","Science et Propriété de la Matière (SPM)","M2"
"2019/01/11 3:05:31 PM UTC+2","8","10","9","9","Science et Propriété de la Matière (SPM)","M1"
"2019/01/11 3:05:48 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","M2"
"2019/01/11 3:05:49 PM UTC+2","3","7","9","9","Science de la vie et de l'environnement (SVE)","M2"
"2019/01/11 3:05:53 PM UTC+2","10","10","10","9","Informatique (ISTIC)","M1"
"2019/01/11 3:05:54 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L3"
"2019/01/11 3:05:59 PM UTC+2","9","10","10","9","Informatique (ISTIC)","M2"
"2019/01/11 3:05:59 PM UTC+2","8","9","9","9","Informatique (ISTIC)","L3"
"2019/01/11 3:06:14 PM UTC+2","9","10","10","10","Informatique (ISTIC)","L1"
"2019/01/11 3:06:16 PM UTC+2","5","9","10","9","Science et Propriété de la Matière (SPM)","L3"
